Year,Date,Outcome,Home score,Opponent Score,Opponent,Kills,Kill %,Attempts,Hitting Efficiency,Aces,Aces/Set,Ace %,Serve Attempts,Serve Errors,Serving Efficiency (%),Points Scored,Solo Blocks,Assist Blocks,Total Blocks,Blocks per Set,Block Errors,Solo Digs,Assist Digs,Total Digs,Digs per Set,Dig Errors,Assists,Assists per Set,Ball Handling Errors (BHE),Receives,Receives per Set
2024,13-Aug,L,1,3,Bushland (TX),37,9.3,149,0.081,7,1.8,15.2,46,2,95.7,24,3,11,9,2.1,19,3,11,9,2.1,19,24,6,3,78,19.5
2024,15-Aug,W,2,1,MLHS,40,20,42,0,4,2,8,50,5,90,31,3,2,4,2,2,3,2,4,2,2,16,8,0,41,20.5
2024,15-Aug,W,2,0,"Timber Creek (Fort Worth, TX)",30,10,106,0.17,7,2.3,10,70,5,92.9,40,3,2,4,1.3,5,3,2,4,1.3,5,29,9.7,0,53,17.7
2024,15-Aug,W,2,0,Whitehouse (TX),27,13.5,70,0.257,5,2.5,10.2,49,3,93.9,24,4,0,4,2,1,4,0,4,2,1,26,13,0,31,15.5
2024,16-Aug,W,2,1,Hereford (TX),37,12.3,126,0.183,6,2,8.5,71,4,94.4,37,0,4,2,0.7,6,0,4,2,0.7,6,37,12.3,0,59,19.7
2024,16-Aug,W,2,0,Mansfield (TX),22,11,73,0,3,1.5,6.1,49,7,85.7,24,4,2,5,2.5,7,4,2,5,2.5,7,22,11,0,36,18
2024,16-Aug,L,0,2,Arlington (TX),16,8,55,0,3,1.5,8.6,35,4,88.6,12,1,0,1,0.5,1,1,0,1,0.5,1,16,8,0,45,22.5
2024,17-Aug,L,0,2,Midlothian (TX),16,8,57,0.123,0,0,0,37,7,81.1,13,3,0,3,1.5,7,3,0,3,1.5,7,16,8,0,42,21
2024,17-Aug,L,0,2,Bushland (TX),18,9,76,0,6,3,13,46,2,95.7,24,4,2,5,2.5,5,4,2,5,2.5,5,18,9,0,41,20.5
2024,20-Aug,L,2,3,"Tascosa (Amarillo, TX)",49,9.8,190,0.111,8,1.6,6.8,117,8,93.2,49,13,5,16,3.1,14,13,5,16,3.1,14,49,9.8,0,106,21.2
2024,22-Aug,W,2,1,NVTO,14,7,51,0.157,5,2.5,0,0,4,0,0,3,2,4,2,3,3,2,4,2,3,10,5,0,14,7
2024,22-Aug,W,2,0,"Brennan (San Antonio, TX)",23,7.7,75,0.227,9,3,0,0,8,0,0,6,10,11,3.7,5,6,10,11,3.7,5,18,6,1,40,13.3
2024,22-Aug,L,0,2,"Eastlake (El Paso, TX)",17,8.5,62,0.113,0,0,0,0,4,0,0,3,10,8,4,13,3,10,8,4,13,17,8.5,1,35,17.5
2024,23-Aug,W,2,1,Joshua (TX),33,11,106,0.132,2,0.7,0,0,3,0,0,0,4,2,0.7,8,0,4,2,0.7,8,24,8,1,52,17.3
2024,23-Aug,L,2,0,"All Saints (Fort Worth, TX)",25,8.3,86,0.128,6,2,0,0,8,0,0,7,7,11,3.5,14,7,7,11,3.5,14,20,6.7,1,56,18.7
2024,23-Aug,W,1,2,"Trinity (Midland, TX)",21,10.5,56,0.268,2,1,0,0,4,0,0,1,8,5,2.5,7,1,8,5,2.5,7,14,7,1,21,10.5
2024,24-Aug,L,1,2,Amarillo (TX),22,7.3,80,0.138,2,0.7,0,0,7,0,0,2,12,8,2.7,16,2,12,8,2.7,16,15,5,2,61,20.3
2024,24-Aug,L,0,2,"Midland Legacy (Midland, TX)",26,13,78,0.256,1,0.5,0,0,8,0,0,1,6,4,2,11,1,6,4,2,11,21,10.5,1,49,24.5
2024,30-Aug,W,3,2,SACHS,38,9.5,101,0.218,15,3.8,0,0,2,0,0,4,6,7,1.8,16,4,6,7,1.8,16,29,7.3,1,58,14.5
2024,30-Aug,W,3,1,"Wylie (Abilene, TX)",33,6.6,130,0.131,11,2.2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,29,5.8,0,70,14
2024,31-Aug,W,3,2,"Tascosa (Amarillo, TX)",55,11,161,0.23,6,1.2,0,0,10,0,0,3,14,10,2,19,3,14,10,2,19,42,8.4,0,80,16
2024,3-Sep,W,3,2,"Liberty (Lubbock, TX)",44,8.8,157,0.134,7,1.4,7.1,99,12,87.9,43,14,0,14,2.8,11,14,0,14,2.8,11,44,8.8,0,97,19.4
2024,10-Sep,L,3,2,MCHS,55,11,187,0.118,8,1.6,7.5,106,10,90.6,56,3,4,5,1,9,3,4,5,1,9,55,11,0,89,17.8
2024,14-Sep,W,3,0,Pampa (TX),33,11,94,0.213,6,2,8.1,74,6,91.9,48,10,0,10,3.3,5,10,0,10,3.3,5,33,11,4,44,14.7
2024,17-Sep,W,3,0,Hereford (TX),33,11,98,0.276,4,1.3,5.4,74,7,90.5,43,5,4,7,2.3,0,5,4,7,2.3,0,33,11,0,39,13
2024,21-Sep,W,3,0,Perryton (TX),29,9.7,80,0.238,16,5.3,21.6,74,4,94.6,54,1,0,1,0.3,3,1,0,1,0.3,3,29,9.7,0,30,10
2024,24-Sep,W,3,0,"Randall (Amarillo, TX)",31,10.3,86,0.279,8,2.7,10.7,75,5,93.3,47,6,0,6,2,6,6,0,6,2,6,31,10.3,0,35,11.7
2024,28-Sep,W,3,1,Dumas (TX),35,8.8,121,0.149,9,2.3,0,0,8,0,0,1,8,5,1.3,8,1,8,5,1.3,8,30,7.5,0,67,16.8
2024,1-Oct,W,3,0,Borger (TX),32,10.7,83,0,16,5.3,21.6,74,12,83.8,43,2,0,2,0.7,2,2,0,2,0.7,2,31,10.3,0,39,13
2024,5-Oct,L,1,3,"West Plains (Amarillo, TX)",34,8.5,142,0.106,5,1.3,6.6,76,5,84.2,36,7,0,7,1.8,19,7,0,7,1.8,19,33,8.3,0,87,21.8
2024,8-Oct,W,3,0,Pampa (TX),38,12.7,72,0,6,2,8.1,74,6,93.2,43,3,0,3,1,6,3,0,3,1,6,37,12.3,0,34,11.3
2024,12-Oct,W,3,1,Hereford (TX),42,10.5,159,0,6,1.5,7.1,85,6,92.9,44,10,0,10,2.5,14,10,0,10,2.5,14,42,10.5,0,72,18
2024,15-Oct,W,3,0,Perryton (TX),38,12.7,88,0,6,2,0,73,10,86.3,46,4,4,6,2,2,4,4,6,2,2,34,11.3,0,32,10.7
2024,19-Oct,L,1,3,"Randall (Amarillo, TX)",28,7,130,0.069,4,1,4.4,91,14,84.6,38,3,2,4,1,6,3,2,4,1,6,26,6.5,0,78,19.5
2024,22-Oct,W,3,0,Dumas (TX),39,13,96,0,4,1.3,5.3,76,13,82.9,35,5,3,7,2.2,8,5,3,7,2.2,8,37,12.3,0,69,23
2024,26-Oct,W,3,0,Borger (TX),32,10.7,94,0,5,1.7,0,73,7,90.4,40,3,2,4,1.3,3,3,2,4,1.3,3,32,10.7,0,44,14.7
2024,29-Oct,L,0,3,"West Plains (Amarillo, TX)",25,8.3,103,0,4,1.3,7,57,4,93,19,2,2,3,1,11,2,2,3,1,11,25,8.3,0,69,23
